Metabolite	Mean ± SD (µmol/L)	Median	Inter-quartile Range	Extreme values	LLOQ	% ND
L-Alanine	319.4±71.7	315.3	[266.0;365.0]	(114.2;608.7)	20.0	0
L-Arginine	81.4±19.3	80.7	[68.5;93.4]	(16.2;147.6)	5.00	0
L-Asparagine	48.4±9.29	47.5	[42.1;53.4]	(26.8;92.0)	5.00	0
L-Aspartic acid	6.26±2.34	6.10	[ND;7.53]	(ND;20.1)	5.00	28
L-Citrulline	29.8±7.91	28.8	[24.4;34.3]	(8.66;63.6)	5.00	0
L-Glutamine	657.9±106.2	652.9	[582.1;722.2]	(355.6;1069.1)	20.0	0
L-Glutamic acid	46.2±21.4	42.2	[30.8;58.7]	(9.12;192.3)	10.0	0
Glycine	255.4±65.9	244.6	[211.7;289.0]	(105.5;549.0)	25.0	0
L-Histidine	89.3±10.8	89.4	[82.3;95.6]	(59.3;154.8)	5.00	0
L-Isoleucine	77.5±15.4	76.5	[66.0;88.0]	(41.0;144.0)	5.00	0
L-Leucine	150.1±27.7	147.6	[129.3;171.2]	(85.0;241.9)	10.0	0
L-Lysine	197.4±30.7	195.9	[178.4;215.1]	(107.2;302.5)	10.0	0
L-Methionine	25.4±5.05	24.9	[22.0;28.3]	(12.8;48.0)	5.00	0
L-Ornithine	69.0±18.0	66.1	[56.5;79.7]	(28.2;144.2)	5.00	0
L-Phenylalanine	60.0±7.75	59.4	[54.6;64.5]	(37.4;102.9)	5.00	0
L-Proline	188.3±55.0	179.4	[146.9;220.3]	(81.4;525.5)	10.0	0
L-Serine	115.1±25.0	112.6	[99.4;129.8]	(53.4;262.6)	5.00	0
L-Threonine	127.9±28.2	124.5	[109.3;144.0]	(51.9;234.4)	5.00	0
L-Tryptophan	63.0±10.7	62.7	[55.8;69.6]	(35.9;105.2)	5.00	0
L-Tyrosine	62.9±12.2	61.4	[54.1;70.9]	(30.8;125.0)	5.00	0
L-Valine	243.6±45.2	241.1	[210.5;271.6]	(131.2;422.6)	10.0	0
N-Acetylornithine	1.03±0.78	0.88	[0.55;1.32]	(ND;11.52)	0.50	21
Asymmetric dimethylarginine	0.45±0.11	0.44	[0.38;0.51]	(ND;0.86)	0.25	1
alpha-Aminoadipic acid	ND	ND	ND	(ND;2.62)	1.00	78
Carnosine	ND	ND	ND	ND	0.50	100
Creatinine	74.1±13.6	73.8	[64.1;83.0]	(40.0;124.9)	10.0 	0
Histamine	ND	ND	ND	ND	1.00	100
Kynurenine	2.21±0.57	2.14	[1.79;2.54]	(ND;4.86)	1.00	<1
Methionine Sulfoxide	ND	ND	ND	(ND;2.37)	1.00	99
Nitrotyrosine	ND	ND	ND	ND	1.00	100
cis-4-Hydroxy-L-proline	ND	ND	ND	ND	1.00	100
Phenylethylamine	ND	ND	ND	ND	0.10	100
Putrescine	ND	ND	ND	(ND;0.27)	0.10	45
Symmetric dimethylarginine	ND	ND	ND	ND	1.00	100
Serotonin	0.41±0.33	0.33	[0.17;0.57]	(ND;2.77)	0.10	15
Spermidine	ND	ND	ND	(ND;0.58)	0.25	54
Spermine	ND	ND	ND	(ND;0.74)	0.50	>99
Taurine	93.0±35.7	87.0	[68.2;111.6]	(28.4;>200)	2.50	0
Total dimethylarginine	ND	ND	ND	(ND;2.01)	1.25	97
L-Carnitine	35.3±7.0	35.2	[30.3;39.7]	(19.0;67.1)	2.20	0
Decanoylcarnitine	0.31±0.13	0.28	[0.22;0.37]	(ND;1.20)	0.13	31
Decenoylcarnitine	ND	ND	ND	(ND;0.47)	0.12	88
Decadienylcarnitine	ND	ND	ND	(ND;0.54)	0.07	98
Dodecanoylcarnitine	ND	ND	ND	(ND;0.40)	0.07	50
Dodecanedioylcarnitine	ND	ND	ND	ND	0.10	100
Dodecenoylcarnitine	ND	ND	ND	(ND;0.42)	0.11	81
Tetradecanoylcarnitine	ND	ND	ND	(ND;0.12)	0.04	54
Tetradecenoylcarnitine	0.13±0.04	0.12	[0.10 ;0.15]	(0.05;0.46)	0.01	0
Hydroxytetradecenoylcarnitine	ND	ND	ND	(ND;0.06)	0.01	59
Tetradecadienylcarnitine	0.04±0.02	0.03	[0.03;0.04]	(ND;0.16)	0.01	14
Hydroxytetradecadienylcarnitine	ND	ND	ND	(ND;0.03)	0.01	78
Hexadecanoylcarnitine	0.11±0.03	0.10	[0.09;0.12]	(0.04;0.23)	0.01	0
Hydroxyhexadecanoylcarnitine	ND	ND	ND	(ND ;0.028)	7	89
Hexadecenoylcarnitine	ND	ND	ND	(ND;0.11)	0.04	86
Hydroxyhexadecenoylcarnitine	ND	ND	ND	(ND;0.03)	8	73
Hexadecadienylcarnitine	ND	ND	ND	(ND;0.05)	0.01	78
Hydroxyhexadecadienylcarnitine	ND	ND	ND	ND	0.02	100
Octadecanoylcarnitine	0.04±0.01	0.04	[0.04;0.05]	(ND;0.08)	0.01	<1
Octadecenoylcarnitine	0.12±0.03	0.11	[0.09;0.13]	(0.03;0.32)	0.02	0
Hydroxyoctadecenoylcarnitine	ND	ND	ND	ND	0.02	100
Octadecadienylcarnitine	0.05±0.02	0.05	[0.04;0.06]	(ND;0.18)	0.01	<1
Acetylcarnitine	6.56±2.26	6.13	[4.98;7.69]	(2.21;19.31)	0.08	0
Propionylcarnitine	0.34±0.10	0.32	[0.27;0.39]	(0.14;1.05)	0.04	0
Hydroxybutyrylcarnitine	0.04±0.02	0.03	[0.03;0.04]	(ND;0.19)	0.02	39
Hydroxypropionylcarnitine	ND	ND	ND	ND	0.06	100
Propenoylcarnitine	ND	ND	ND	(ND;0.09)	0.02	98
Butyrylcarnitine	0.21±0.09	0.19	[0.16;0.24]	(0.09;0.89)	0.04	0
Butenylcarnitine	ND	ND	ND	(ND;0.19)	0.02	90
Valerylcarnitine	0.14±0.04	0.14	[0.11;0.17]	(ND;0.29)	0.03	2
Glutarylcarnitine (Hydroxyhexanoylcarnitine)	ND	ND	ND	(ND;0.05)	0.01	72
Methylglutarylcarnitine	ND	ND	ND	(ND;0.19)	0.05	91
Hydroxyvalerylcarnitine (Methylmalonylcarnitine)	ND	ND	ND	(ND;0.44)	0.07	77
Tiglylcarnitine	ND	ND	ND	(ND;0.09)	0.04	99
Glutaconylcarnitine	ND	ND	ND	(ND;0.06)	0.01	92
Hexanoylcarnitine  (Fumarylcarnitine)	0.06±0.02	0.06	[0.04;0.07]	(ND;0.24)	0.03	41
Hexenoylcarnitine	ND	ND	ND	(ND;0.08)	0.02	92
Pimelylcarnitine	0.03±0.02	0.03	[0.02;0.04]	(ND;0.17)	0.02	44
Octanoylcarnitine	0.18±0.07	0.16	[0.13;0.22]	(ND;0.77)	0.11	41
Nonaylcarnitine	0.08±0.03	0.07	[0.06;0.09]	(ND;0.20)	0.02	22
lysoPC a C14:0	ND	ND	ND	ND	4.50	100
lysoPC a C16:0	73.4±12.9	71.7	[63.0;81.9]	(31.5;133.7)	0.06	0
lysoPC a C16:1	2.16±0.64	2.04	[1.75;2.48]	(0.70;6.32)	0.05	0
lysoPC a C17:0	1.64±0.40	1.60	[1.32;1.88]	(0.57;3.06)	0.02	0
lysoPC a C18:0	21.8±4.97	21.4	[18.4;24.9]	(6.74;41.74)	0.16	0
lysoPC a C18:1	17.5±4.62	16.9	[14.4;20.2]	(5.79;37.67)	0.05	0
lysoPC a C18:2	26.6±9.20	25.3	[19.8;31.3]	(9.12;74.2)	0.05	0
lysoPC a C20:3	1.75±0.56	1.65	[1.36;2.07]	(0.45;3.97)	0.07	0
lysoPC a C20:4	5.14±1.50	4.99	[4.07;5.93]	(1.85;12.2)	0.03	0
lysoPC a C24:0	0.16±0.04	0.16	[0.13;0.19]	(ND;0.34)	0.05	7
lysoPC a C26:0	0.23±0.07	0.21	[0.18;0.26]	(ND;0.55)	0.04	4
lysoPC a C26:1	0.11±0.04	0.10	[0.08;0.13]	(0.04;0.34)	0.01	0
lysoPC a C28:0	0.23±0.07	0.22	[0.19;0.27]	(ND;0.56)	0.06	3
lysoPC a C28:1	0.36±0.11	0.34	[0.28;0.42]	(0.14;0.79)	0.01	0
PC aa C24:0	0.10±0.04	0.10	[0.07;0.11]	(ND;0.28)	0.05	30
PC aa C26:0	ND	ND	ND	(ND;1.3)	1.1	>99
PC aa C28:1	3.04±0.81	2.91	[2.45;3.53]	(1.32;7.69)	0.02	0
PC aa C30:0	4.73±1.65	4.44	[3.59;5.46]	(1.74;12.71)	0.13	0
PC aa C30:2	ND	ND	ND	ND	0.01	100
PC aa C32:0	15.1±3.01	14.8	[13.0;17.1]	(8.01;25.9)	0.02	0
PC aa C32:1	16.6±7.90	14.4	[11.4;19.7]	(4.42;64.6)	3	0
PC aa C32:2	4.02±1.47	3.84	[2.99;4.80]	(1.03;11.76)	3	0
PC aa C32:3	0.49±0.12	0.47	[0.40;0.56]	(0.21;1.03)	2	0
PC aa C34:1	242.2±51.3	234.5	[208.0;271.9]	(126.1;490.0)	0.05	0
PC aa C34:2	413.3±69.2	407.6	[366.0;456.5]	(218.0;670.7)	0.04	0
PC aa C34:3	15.9±4.61	15.1	[12.8;18.5]	(6.28;37.2)	6	0
PC aa C34:4	1.87±0.66	1.77	[1.37;2.25]	(0.55;4.82)	5	0
PC aa C36:0	2.52±0.89	2.42	[1.93;3.04]	(0.42;7.49)	0.22	0
PC aa C36:1	57.1±13.5	55.3	[48.0;64.3]	(27.7;119.8)	0.02	0
PC aa C36:2	250.7±47.2	245.5	[220.4;280.2]	(113.2;428.0)	0.02	0
PC aa C36:3	129.9±26.4	127.2	[112.7;145.5]	(66.0;245.3)	0.02	0
PC aa C36:4	189.4±38.8	184.3	[162.7;212.9]	(92.0;349.6)	0.02	0
PC aa C36:5	29.3±15.5	25.8	[19.3;34.7]	(8.70;142.2)	0.01	0
PC aa C36:6	1.16±0.47	1.10	[0.84;1.40]	(0.38;5.70)	1	0
PC aa C38:0	3.48±0.95	3.36	[2.83;3.98]	(1.41;7.30)	0.02	0
PC aa C38:1	1.23±0.46	1.17	[0.91;1.47]	(0.05;3.97)	7	0
PC aa C38:3	47.3±11.3	45.2	[39.4;52.9]	(22.0;98.5)	0.02	0
PC aa C38:4	101.6±22.6	99.1	[85.7;115.7]	(45.1;195.7)	0.01	0
PC aa C38:5	54.2±13.2	52.2	[44.9;61.6]	(24.4;110.1)	6	0
PC aa C38:6	88.0±25.0	86.5	[70.5;103.0]	(27.5;214.2)	1	0
PC aa C40:1	0.39±0.10	0.39	[0.34;0.45]	(ND;0.93)	0.25	22
PC aa C40:2	0.32±0.12	0.29	[0.25;0.36]	(0.14;2.07)	9	0
PC aa C40:3	0.55±0.18	0.52	[0.44;0.61]	(0.26;3.68)	1	0
PC aa C40:4	3.15±0.74	3.05	[2.62;3.54]	(1.38;6.66)	6	0
PC aa C40:5	9.40±2.50	8.99	[7.67;10.84]	(4.10;23.16)	1	0
PC aa C40:6	27.8±8.8	26.5	[21.9;33.2]	(8.36;67.5)	0.10	0
PC aa C42:0	0.65±0.18	0.63	[0.53;0.75]	(0.26;1.42)	0.03	0
PC aa C42:1	0.32±0.08	0.31	[0.26;0.36]	(0.11 ;0.78)	2	0
PC aa C42:2	0.25±0.07	0.24	[0.20;0.29]	(0.13;0.79)	0.06	0
PC aa C42:4	0.18±0.04	0.18	[0.15;0.20]	(0.09;0.40)	2	0
PC aa C42:5	0.32±0.11	0.30	[0.26;0.36]	(0.14;2.34)	1	0
PC aa C42:6	0.47±0.20	0.45	[0.38;0.53]	(0.20;4.79)	0.07	0
PC ae C30:0	0.52±0.14	0.49	[0.42;0.59]	(0.24;1.06)	0.09	0
PC ae C30:1	ND	ND	ND	ND	0.02	100
PC ae C30:2	0.12±0.03	0.12	[0.10 ;0.14]	(0.05;0.25)	0.01	0
PC ae C32:1	3.08±0.63	2.99	[2.65;3.47]	(1.50;5.61)	1	0
PC ae C32:2	0.79±0.18	0.76	[0.65;0.91]	(0.36;1.53)	7	0
PC ae C34:0	1.68±0.45	1.62	[1.36;1.93]	(0.72;3.60)	9	0
PC ae C34:1	11.5±2.22	11.2	[9.87;12.8]	(6.63;18.7)	0.02	0
PC ae C34:2	13.3±3.07	12.9	[11.1;14.8]	(6.28;25.7)	1	0
PC ae C34:3	9.39±2.46	9.03	[7.62;10.87]	(4.23;21.23)	2	0
PC ae C36:0	0.79±0.21	0.76	[0.64;0.91]	(0.19;1.77)	0.05	0
PC ae C36:1	9.75±2.27	9.47	[8.12;11.13]	(4.61;19.26)	0.03	0
PC ae C36:2	16.8±3.54	16.5	[14.2;18.9]	(7.69;28.6)	0.03	0
PC ae C36:3	8.59±1.90	8.32	[7.27;9.64]	(4.14;16.78)	1	0
PC ae C36:4	20.7±4.81	20.0	[17.2;23.3]	(10.3;39.4)	0.02	0
PC ae C36:5	14.5±3.78	14.2	[11.9;16.6]	(6.44;32.2)	5	0
PC ae C38:0	2.55±0.81	2.46	[1.97;2.99]	(0.98;7.94)	0.08	0
PC ae C38:1	0.80±0.38	0.73	[0.58;0.91]	(0.05;3.52)	2	0
PC ae C38:2	2.00±0.60	1.95	[1.60;2.32]	(0.35;4.67)	3	0
PC ae C38:3	4.46±1.00	4.33	[3.74;5.02]	(2.42;9.80)	5	0
PC ae C38:4	14.9±2.96	14.5	[12.9;16.7]	(7.51;26.5)	0.01	0
PC ae C38:5	19.3±3.87	19.0	[16.5;21.4]	(11.1;32.5)	5	0
PC ae C38:6	8.90±2.29	8.73	[7.27;10.10]	(3.68;18.53)	1	0
PC ae C40:1	1.45±0.34	1.41	[1.21;1.66]	(0.55;2.71)	6	0
PC ae C40:2	2.18±0.55	2.12	[1.78;2.49]	(0.97;4.68)	5	0
PC ae C40:3	1.16±0.25	1.12	[0.98;1.29]	(0.66;2.73)	2	0
PC ae C40:4	2.40±0.49	2.35	[2.06;2.66]	(1.25;4.37)	0.04	0
PC ae C40:5	3.74±0.74	3.67	[3.24;4.16]	(1.95;7.49)	2	0
PC ae C40:6	5.40±1.29	5.23	[4.51;6.23]	(2.25;10.45)	2	0
PC ae C42:0	ND	ND	ND	(ND;1.92)	0.48	85
PC ae C42:1	0.34±0.07	0.33	[0.29;0.38]	(ND;0.59)	0.07	1
PC ae C42:2	0.64±0.14	0.62	[0.54;0.72]	(0.31;1.14)	8	0
PC ae C42:3	0.84±0.18	0.81	[0.71;0.95]	(0.44;1.48)	3	0
PC ae C42:4	0.92±0.21	0.90	[0.77;1.04]	(0.40;1.84)	1	0
PC ae C42:5	2.19±0.44	2.16	[1.90;2.42]	(1.12;4.59)	0.54	0
PC ae C44:3	0.12±0.03	0.11	[0.10;0.14]	(0.05;0.24)	0.02	0
PC ae C44:4	0.39±0.09	0.38	[0.33;0.45]	(0.18;0.86)	0.05	0
PC ae C44:5	1.92±0.45	1.88	[1.62;2.19]	(0.84;4.33)	0.08	0
PC ae C44:6	1.32±0.32	1.29	[1.09;1.50]	(0.58;2.92)	0.02	0
SM (OH) C14:1	7.11±1.74	6.90	[5.82;8.16]	(3.27;14.76)	1	0
SM (OH) C16:1	4.10±0.96	3.99	[3.43;4.74]	(2.06;7.06)	1	0
SM (OH) C22:1	15.3±3.55	15.1	[12.8;17.6]	(6.18;28.2)	9	0
SM (OH) C22:2	14.1±3.42	13.6	[11.6;16.2]	(6.84;26.2)	1	0
SM (OH) C24:1	1.56±0.40	1.51	[1.26;1.80]	(0.70;3.57)	1	0
SM C16:0	114.4±19.7	113.9	[100.2;126.2]	(70.1;178.7)	0.01	0
SM C16:1	16.6±3.36	16.3	[14.0;18.6]	(8.33;31.6)	0.01	0
SM C18:0	23.8±5.28	23.4	[20.1;26.7]	(10.5;46.2)	0.01	0
SM C18:1	11.0±2.56	10.7	[9.23;12.6]	(5.07;23.9)	1	0
SM C20:2	0.35±0.11	0.34	[0.27;0.41]	(0.07;0.94)	1	0
SM C22:3	ND	ND	ND	ND	1	100
SM C24:0	22.0±4.73	21.7	[18.7;24.8]	(9.01;45.3)	0.07	0
SM C24:1	57.1±11.7	56.2	[48.8;63.7]	(28.4;104.0)	0.01	0
SM C26:0	0.23±0.07	0.23	[0.19;0.27]	(0.07;0.57)	1	0
SM C26:1	0.47±0.13	0.46	[0.38;0.54]	(0.20;1.18)	1	0
